,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"Já fiz mil críticas a Bolsonaro, mas 1) a relação Brasil-Rússia foi prioridade do Brasil nas últimas duas décadas (vejam o BRICS) 2) FHC, Lula, Dilma e Temer tb visitaram Putin, com quem tinham boa relação 3) Bolsonaro não apoiou em nenhum momento uma invasão da Rússia à Ucrânia",279,1494829226230530049,2022-02-19 00:20:34,Twitter for Android,20291,1050,"New York, NY",,
1,"Lula quer acabar com escolas cívico-militares do Governo Bolsonaro  Colégios batem recorde de desempenho, alta disciplina, pacificam áreas de crime; por que o PT os manteria?  Promessa de integrante da equipe eleitoral de Lula: https://t.co/jSzP9qu2Xn  Agora é JAIR 🇧🇷 ou JÁ ERA💣 https://t.co/wjjAHN3mjk",303,1494815153229021190,2022-02-18 23:24:39,Twitter for iPhone,5707,1588,São Paulo - SP,,
2,"ENQUETE: entre Lula e Bolsonaro, quem receberia seu voto no 2º turno? Vote agora! https://t.co/4Uujprgxby",105,1495398350056681477,2022-02-20 14:02:04,dlvr.it,915,294,Brasil,,
3,"É triste demais ver em um vídeo pessoas que se dizem de esquerda afirmando que estão apenas esperando Lula ganhar para ir às ruas, mas durante o governo Bolsonaro estão dentro de suas casas fazendo revolução via zoom meeting. 😪😪",228,1494992666588762113,2022-02-19 11:10:01,Twitter for iPhone,3433,275,"Washington, DC",,
4,"Bolsonaro, no tempo do Lula não só a carne era mais barata. A gente tinha crescimento, estabilidade, justiça social, oportunidades para todos, autoestima e soberania. Nossos governos estão nas mentes e no coração do povo, por isso, que voltaremos a governar este país.",268,1495005203141177345,2022-02-19 11:59:50,Twitter for iPhone,1347,205,Aracaju SE,,
5,"Galera, pare o que vc esta fazendo rapidinho e vote pq a canhotada já se mobilizou https://t.co/TWTz9Jzixt",106,1494733564218331149,2022-02-18 18:00:27,Twitter for Android,15726,7176,,,
6,"Querem atacar Lula e o PT por serem contra as tais “reformas” de Temer e Bolsonaro. Ora, perguntem ao povo brasileiro o que ele acha do teto de gastos, privatizações, deforma trabalhista ou da destruição do direito à aposentadoria. O neoliberalismo golpista precisa ser derrotado!",280,1494808189929414657,2022-02-18 22:56:59,Twitter for iPhone,1562,286,"Brasil, Distrito Federal",,
7,Enquete ao vivo mostra a verdade sobre Lula e Bolsonaro. A diferença entre pesquisa forjada e ouvir a população. https://t.co/dwluXGXzye,136,1494744038259531784,2022-02-18 18:42:04,Twitter Media Studio,5534,1604,Niterói - Rio de Janeiro,,
8,"Todo mundo sente falta do tempo de Lula. O povo era valorizado e a gente tinha empatia. No lugar de armas, a gente tinha feijão e carne na mesa dos trabalhadores. Até Bolsonaro reconhece.   https://t.co/TF4XS8Tcok",213,1495077683553841157,2022-02-19 16:47:51,Twitter for iPhone,947,114,Pernambuco,,
9,Trecho 1 de mais uma entrevista de @SF_Moro para a Bahia. Assunto: “A volta de Lula é culpa de Bolsonaro” https://t.co/ILRhxsNQtj,129,1495058257420898304,2022-02-19 15:30:40,Twitter for iPhone,784,114,"Bahia, Brasil",,
10,"Ei, @galodeluta , se vc tem capacidade de fazer a rua ferver contra Lula, porque não faz o mesmo com o Bolsonaro? Vc é um blefe, mano. Um bocó de argola. Um coió de mola. Zé ruela",179,1495052619454242818,2022-02-19 15:08:15,Twitter for Android,692,108,aguaí,,
11,"“Se o Lula fez, Bolsonaro também pode” https://t.co/wnwZEhTCTS",62,1495393203595497472,2022-02-20 13:41:37,Twitter for iPhone,1133,137,,,
12,"Bolsonaro: Com Lula, carne era mais barata, mas ele não enfrentou pandemia https://t.co/2ZZ4POaJ3R",98,1494853166151745537,2022-02-19 01:55:42,Zapier.com,1141,76,Brasil,,
13,"De fato, a vida dos brasileiros já foi bem melhor https://t.co/Ama9MzkHwu",73,1494964698168852482,2022-02-19 09:18:53,Twitter Web App,501,72,"Sao Paulo, Brasil",,
14,"Lula tem mais uma vitória após STF suspender ação sobre Instituto  Ministro indicado por Jair Bolsonaro, Kássio Nunes Marques, Gilmar Mendes e Ricardo Lewandowski votaram a favor do ex-presidente  https://t.co/DKrYbp0vZV",220,1495158963100393476,2022-02-19 22:10:50,Twitter Web App,228,61,Brasil,,
15,"Somando Lula, Dilma e Temer não chega a 3 anos de governo Bolsonaro. https://t.co/QacEygU8ig",92,1493004136253698063,2022-02-13 23:28:19,Twitter for iPhone,13091,3587,São Paulo - SP,,
16,"O ex-juiz da Lava Jato disse que ""a candidatura do Lula é baseada em uma mentira"" e que o governo Bolsonaro ""não deu certo""  https://t.co/NS620YUadm",148,1494712976594677770,2022-02-18 16:38:38,Twitter Web App,535,77,,,
17,"Lula, o maior corruPTo da face da terra, ataca o Presidente Bolsonaro acusando-o de quebrar a Petrobras. Mas ouça o ex-diretor da estatal, Renato Duque, falando com detalhes sobre quem chefiava o esquema de corrupção que quase destruiu a empresa. https://t.co/E0OATAGjpt",270,1494420278809706505,2022-02-17 21:15:34,Twitter Media Studio,4019,1384,Niterói - Rio de Janeiro,,
18,"Bolsonaro sugere que ministros Roberto Barroso, Edson Fachin e Alexandre de Moraes são petistas e querem eleição de Lula. Fachin e Barroso são os 2 ministros + identificados com a Lava Jato no STF. Moraes nem mesmo foi indicado por um petista. Os três votaram em 18 contra habeas",279,1494117312722518024,2022-02-17 01:11:41,Twitter for iPhone,6562,705,"São Paulo, Brasil.",,
19,"&gt;@EstadaoPolitica Pesquisa Ipespe em SP: Lula tem 34%; Bolsonaro, 26%; Moro, 11% https://t.co/k7Do7am0Vn",107,1494728418168037376,2022-02-18 17:40:00,TweetDeck,362,45,São Paulo,,
20,Até onde eu sei o que aconteceu foi o contrário! Será que não dirá nada sobre a facada no então candidato Bolsonaro? !!! : Joaquim Barbosa diz não duvidar que Lula possa ser assassinado: “turma do outro lado é sanguinária” - Terra Brasil Notícias https://t.co/qSTHys31oX,270,1492492091599077382,2022-02-12 13:33:38,Twitter for iPhone,2955,617,Porto Alegre,,
21,"Quando o assunto é Rússia, revela-se um pragmatismo geopolítico q se impõe sobre praticamente todas as divergências ideológicas internas no Brasil nas últimas décadas. Não importa se é FHC, Lula, Dilma, Temer ou Bolsonaro: todos buscaram manter relações cordiais com a Rússia 🧵👇 https://t.co/ALhYcry4UB",302,1494003788981620737,2022-02-16 17:40:35,Twitter Web App,4693,359,São Paulo,,
22,Martinho da Vila diz que Bolsonaro dá 'maus exemplos' e que votará no Lula https://t.co/LGGU6gPvzH,98,1492924176591724550,2022-02-13 18:10:35,Zapier.com,12148,805,Brasil,,
23,FHC visitou Putin em Moscou. Lula visitou Putin em Moscou duas vezes. Dilma visitou Putin. Temer visitou Putin. Todos priorizaram as relações com a Rússia e o BRICS. Qual a grande novidade de um presidente do Brasil visitar Moscou? Bolsonaro faz igual antecessores,264,1493697935632216066,2022-02-15 21:25:14,Twitter Web App,14688,698,"New York, NY",,
24,"Bolsonaro e seus filhotes continuam a sanha de ataques a Lula e ao PT. Produzem fake news, mentem o tempo todo e querem tirar o foco do debate q realmente interessa, a vida do povo. P/ dizer q faz alguma coisa, Bolsonaro inaugura obra do Lula",242,1493222272563355652,2022-02-14 13:55:07,Twitter for iPhone,4248,708,Curitiba - Brasil,,
25,"Transposição do Rio São Francisco: de um lado, a de Lula; do outro, a do Presidente Bolsonaro. https://t.co/74NrcQb0YH",118,1493184666291089408,2022-02-14 11:25:41,Twitter Media Studio,4779,1190,Niterói - Rio de Janeiro,,
26,Lula x Bolsonaro. Transposição do rio Francisco. https://t.co/r8GNsqYsxm,72,1493188491877957635,2022-02-14 11:40:53,Twitter for iPhone,5395,1256,São Paulo - SP,,
27,"Institutos de pesquisa já aproximando Bolsonaro de Lula. Quanto mais chega perto da eleição, mais eles têm que justificar a pesquisa. Em outubro poderá dar no primeiro turno. Chorem, urubus!",190,1494089387021410308,2022-02-16 23:20:43,Twitter for Android,5659,729,,,
28,Já viu Bolsonaro elogiando Lula? Assista! 👀 https://t.co/mASscjK9MJ,67,1493244220018147328,2022-02-14 15:22:19,Twitter for iPhone,3193,716,São Paulo - SP,,
29,"Ciro Gomes mente ao afirmar que o presidente Lula disse que o Brasil não precisa de reformas. O que Lula disse, na verdade, é que ""o Brasil não precisava das reformas"", sobre as que foram feitas nos últimos anos por Temer e Bolsonaro. O Brasil precisa de reformas, não estas.",275,1494371064293507076,2022-02-17 18:00:00,Twitter Web App,2674,405,"Chapecó, Santa Catarina",,
30,"Frase do dia  “Não dá para a gente votar no Jair para protestar contra o desastre econômico e a corrupção do PT e do Lula. E, agora, votar no Lula para protestar contra o desastre que é Bolsonaro. É preciso ter calma e, acima de tudo, construir caminhos de diálogo”. (Ciro Gomes) https://t.co/CGIRK16Y6F",303,1492441622080106501,2022-02-12 10:13:05,Twitter Web App,1566,247,,,
31,Presidente eleito do Chile quer Lula em posse após se livrar de Bolsonaro https://t.co/fUl8SCZcrO,97,1492476087355514885,2022-02-12 12:30:02,Twitter Web App,443,64,"Sao Paulo, Brazil",,
32,FIES: Bolsonaro diz por que roubou ideia de Lula: “Clandestinidade” https://t.co/kQfHNn84RQ,91,1492463427243102211,2022-02-12 11:39:44,Twitter Web App,56,17,"Sao Paulo, Brazil",,
